"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","meanlog_co2","sdlog_co2"
"816",139.5,145,133.9,1442,"mean",961,1923,1,"skew_normal","stomata","Sun et al., 2007",7.21480807727954,0.348766573391513
"817",139.5,145,133.9,1228,"mean",819,1638,1,"skew_normal","stomata","Sun et al., 2007",7.05465767413304,0.348505045946599
"818",139.5,145,133.9,1151,"mean",767,1534,1,"skew_normal","stomata","Sun et al., 2007",6.98906039164723,0.348505045946599
"819",168,168.3,167.7,1031,"mean",687,1375,1,"skew_normal","stomata","Sun et al., 2007",6.87927165116151,0.348870841889625
"820",168,168.3,167.7,926,"mean",618,1235,1,"skew_normal","stomata","Sun et al., 2007",6.77265735325988,0.348098096105272
"821",172.2,174.1,170.3,896,"mean",597,1195,1,"skew_normal","stomata","Sun et al., 2007",6.73890928887911,0.348925963929753
"822",186.8,190.8,182.7,942,"mean",628,1256,1,"skew_normal","stomata","Sun et al., 2007",6.78911375674817,0.348505045946599
"823",25.6,28.1,23,588,"mean",412,971,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",6.44967490882043,0.43104043590802
"824",22.1,23.6,20.6,333,"mean",233,550,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",5.88047836589611,0.4318331822604
"825",20,20.3,19.7,332,"mean",233,548,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",5.87865687025686,0.430001535420444
"826",19,19.5,18.5,397,"mean",278,654,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",6.05536423257392,0.43012693257826
"827",19,19.2,18.8,459,"mean",321,757,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",6.20040218828373,0.431351666466944
"828",17.6,18,17.2,374,"mean",262,617,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",5.99660676383324,0.43064896694254
"829",17.6,18,17.2,341,"mean",239,563,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",5.9048715900356,0.430795557395898
"830",17.6,18,17.2,388,"mean",272,641,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",6.03441576160833,0.431002360732387
"831",17,17.5,16.4,393,"mean",275,649,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",6.04610190718533,0.431723471418452
"832",16.8,17.2,16.4,425,"mean",297,701,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",6.12312001291864,0.43178085403681
"833",16.5,17.5,15.5,393,"mean",275,649,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",6.04610190718533,0.431723471418452
"834",15.8,16,15.6,564,"median",414,701,1,"skew_normal","stomata","Kôrschner et al., 2008 (updated by Beerling et al., 2009)",6.28918693042995,0.264788445092046
"835",15.7,16.4,15,555,"median",426,695,1,"skew_normal","stomata","Kôrschner et al., 2008 (updated by Beerling et al., 2009)",6.29917559591708,0.24610016550705
"836",15.7,16.4,15,552,"median",416,693,1,"skew_normal","stomata","Kôrschner et al., 2008 (updated by Beerling et al., 2009)",6.28585762972558,0.256594445850954
"837",15.7,16.4,15,449,"mean",314,741,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",6.17869680560217,0.431696331179233
"838",13.9,14.3,13.5,287,"median",262,301,1,"skew_normal","stomata","Kôrschner et al., 2008 (updated by Beerling et al., 2009)",5.63772738425499,0.0697695514966868
"839",13.9,14.3,13.5,293,"mean",205,483,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",5.75151331639549,0.430891387651357
"840",11.6,12.2,11,332,"mean",233,548,1,"skew_normal; reported distribution is normal","stomata","Kôrschner et al., 2008",5.87865687025686,0.430001535420444
"841",72.5,83.6,72.1,559,"mean",497,819,1,"skew_normal","stomata","Quan et al., 2009",6.45833705497485,0.251138869825363
"842",73.1,83.6,72.1,568,"mean",508,836,1,"skew_normal","stomata","Quan et al., 2009",6.47955503033159,0.250461670582961
"843",73.7,83.6,72.1,572,"mean",491,938,1,"skew_normal","stomata","Quan et al., 2009",6.52009703840037,0.325456629255346
"844",74.7,83.6,72.1,589,"mean",506,1020,1,"skew_normal","stomata","Quan et al., 2009",6.57704728778289,0.352464015232201
"845",75.4,83.6,72.1,593,"mean",520,979,1,"skew_normal","stomata","Quan et al., 2009",6.57018022705299,0.318114442872583
"846",75.9,83.6,72.1,695,"mean",559,3251,1,"skew_normal","stomata","Quan et al., 2009",7.2064336967295,0.885190050214256
"847",78.1,83.6,72.1,568,"mean",475,984,1,"skew_normal","stomata","Quan et al., 2009",6.52747035054345,0.366184986470662
"848",79.9,83.6,72.1,582,"mean",497,1001,1,"skew_normal","stomata","Quan et al., 2009",6.55867240270592,0.352033386752747
"849",81.5,83.6,72.1,585,"mean",483,1105,1,"skew_normal","stomata","Quan et al., 2009",6.59380863380221,0.416098044106271
"850",121,123,119,867,"mean",578,1156,1,"skew_normal","stomata","Passalia, 2009",6.70614745895235,0.3485050459466
"851",121,123,119,837,"mean",558,1116,1,"skew_normal","stomata","Passalia, 2009",6.67093255266128,0.348505045946599
"852",121,123,119,784,"mean",523,1046,1,"skew_normal","stomata","Passalia, 2009",6.6061550543449,0.348505045946599
"853",121,123,119,573,"mean",382,764,1,"skew_normal","stomata","Passalia, 2009",6.29199419888655,0.348505045946599
"854",121,123,119,1060,"mean",707,1413,1,"skew_normal","stomata","Passalia, 2009",6.90725052429055,0.348149342711734
"855",121,123,119,1060,"mean",707,1413,1,"skew_normal","stomata","Passalia, 2009",6.90725052429055,0.348149342711734
"856",121,123,119,867,"mean",578,1156,1,"skew_normal","stomata","Passalia, 2009",6.70614745895235,0.348505045946599
"857",121,123,119,593,"mean",395,791,1,"skew_normal","stomata","Passalia, 2009",6.32609186633439,0.349141082086463
"858",121,123,119,908,"mean",605,1211,1,"skew_normal","stomata","Passalia, 2009",6.75221510079197,0.348920400370479
"859",121,123,119,782,"mean",521,1043,1,"skew_normal","stomata","Passalia, 2009",6.60280324837707,0.348987335193664
"860",121,123,119,734,"mean",489,979,1,"skew_normal","stomata","Passalia, 2009",6.53944706600269,0.34901887992235
"861",121,123,119,769,"mean",513,1026,1,"skew_normal","stomata","Passalia, 2009",6.58684943545074,0.348505045946599
"862",101.8,103,100.5,974,"mean",649,1298,1,"skew_normal","stomata","Passalia, 2009",6.82200630698406,0.3485050459466
"863",101.8,103,100.5,852,"mean",568,1136,1,"skew_normal","stomata","Passalia, 2009",6.68869500900112,0.3485050459466
"864",101.8,103,100.5,917,"mean",612,1223,1,"skew_normal","stomata","Passalia, 2009",6.76289720909975,0.348094104770055
"865",101.8,103,100.5,954,"mean",636,1272,1,"skew_normal","stomata","Passalia, 2009",6.8017721536201,0.348505045946599
"866",3.9,4.2,3.6,355,"mean",249,586,1,"skew_normal","stomata","Retallack, 2009a",5.94538634302086,0.430318320947829
"867",12,12.3,11.6,468,"mean",328,773,1,"skew_normal","stomata","Retallack, 2009a",6.22164632848578,0.431021491546898
"868",34.5,35,33.9,672,"mean",448,896,1,"skew_normal","stomata","Retallack, 2009a",6.45136682269496,0.348505045946599
"869",35.5,36,35,746,"mean",497,995,1,"skew_normal","stomata","Retallack, 2009a",6.55566638162761,0.349010613109873
"870",46.4,47.8,45,908,"mean",605,1210,1,"skew_normal","stomata","Retallack, 2009a",6.75180204831081,0.348505045946599
"871",118,123,113,893,"mean",595,1190,1,"skew_normal","stomata","Retallack, 2009a",6.7351349958256,0.348505045946599
"872",124.7,126.3,123,1008,"mean",672,1344,1,"skew_normal","stomata","Retallack, 2009a",6.85683193080312,0.348505045946599
"873",127.9,129.5,126.3,592,"mean",395,789,1,"skew_normal","stomata","Retallack, 2009a",6.3248260428735,0.347868204187597
"874",142,143,141,813,"mean",542,1084,1,"skew_normal","stomata","Retallack, 2009a",6.64183959171962,0.348505045946599
"875",142,143,141,736,"mean",491,981,1,"skew_normal","stomata","Retallack, 2009a",6.54250829367994,0.347992782528357
"876",143.5,145,142,972,"mean",648,1296,1,"skew_normal","stomata","Retallack, 2009a",6.82046428663225,0.348505045946599
"877",148,149,147,736,"mean",491,981,1,"skew_normal","stomata","Retallack, 2009a",6.54250829367994,0.347992782528356
"878",153.4,154.7,152.1,939,"mean",626,1252,1,"skew_normal","stomata","Retallack, 2009a",6.78592396138007,0.348505045946599
"879",203.2,205,201.3,908,"mean",605,1210,1,"skew_normal","stomata","Retallack, 2009a",6.75180204831081,0.348505045946599
"880",230.5,233,228,813,"mean",542,1084,1,"skew_normal","stomata","Retallack, 2009a",6.64183959171962,0.348505045946599
"881",233.8,237,230.5,789,"mean",526,1052,1,"skew_normal","stomata","Retallack, 2009a",6.61187480301768,0.348505045946599
"882",233.8,237,230.5,825,"mean",550,1100,1,"skew_normal","stomata","Retallack, 2009a",6.65649186850649,0.3485050459466
"883",168.8,174.1,163.5,1422,"mean",948,1896,1,"skew_normal","stomata","Yan et al., 2009",7.20092809253499,0.348505045946599
"884",168.8,174.1,163.5,1373,"mean",915,1830,1,"skew_normal","stomata","Yan et al., 2009",7.16549765555549,0.348505045946599
"885",168.8,174.1,163.5,1296,"mean",864,1728,1,"skew_normal","stomata","Yan et al., 2009",7.10814635908403,0.348505045946599
"886",168.8,174.1,163.5,1188,"mean",792,1584,1,"skew_normal","stomata","Yan et al., 2009",7.0211349820944,0.348505045946599
"887",168.8,174.1,163.5,1134,"mean",756,1512,1,"skew_normal","stomata","Yan et al., 2009",6.97461496645951,0.348505045946599
"888",94.5,NA,NA,366,"mean",256,603,1,"skew_normal","stomata","Barclay et al., 2010",5.97354732060337,0.430757182738788
"889",94.4,NA,NA,381,"mean",267,628,1,"skew_normal","stomata","Barclay et al., 2010",6.01489441243422,0.430029025114355
"890",94.3,NA,NA,384,"mean",269,634,1,"skew_normal","stomata","Barclay et al., 2010",6.02338016701953,0.431057759866213
"891",94.3,NA,NA,410,"mean",287,676,1,"skew_normal","stomata","Barclay et al., 2010",6.08783764590129,0.430742656249145
"892",94.2,NA,NA,444,"mean",311,733,1,"skew_normal","stomata","Barclay et al., 2010",6.16846930703294,0.431065409698493
"893",94.1,NA,NA,457,"mean",320,753,1,"skew_normal","stomata","Barclay et al., 2010",6.19619311179683,0.430256648599379
"894",94.1,NA,NA,360,"mean",252,595,1,"skew_normal","stomata","Barclay et al., 2010",5.95899524652853,0.431960132520262
"895",94.1,NA,NA,446,"mean",313,737,1,"skew_normal","stomata","Barclay et al., 2010",6.17439554136474,0.430578668090539
"896",94.1,NA,NA,396,"mean",277,654,1,"skew_normal","stomata","Barclay et al., 2010",6.05356242882227,0.431938777787666
"897",94.1,NA,NA,448,"mean",314,740,1,"skew_normal","stomata","Barclay et al., 2010",6.17802158605323,0.431017348629709
"898",94.1,NA,NA,508,"mean",355,838,1,"skew_normal","stomata","Barclay et al., 2010",6.30156794497875,0.431843482518559
"899",94,NA,NA,485,"mean",340,801,1,"skew_normal","stomata","Barclay et al., 2010",6.25740328233928,0.430845460590215
"900",94,NA,NA,425,"mean",297,701,1,"skew_normal","stomata","Barclay et al., 2010",6.12312001291864,0.43178085403681
"901",94,NA,NA,466,"mean",326,769,1,"skew_normal","stomata","Barclay et al., 2010",6.21599417543618,0.431488151800354
"902",94,NA,NA,370,"mean",259,610,1,"skew_normal","stomata","Barclay et al., 2010",5.98514350943345,0.430702451019305
"903",93.9,NA,NA,431,"mean",302,711,1,"skew_normal","stomata","Barclay et al., 2010",6.13854972358905,0.430508635350509
"904",93.9,NA,NA,436,"mean",305,720,1,"skew_normal","stomata","Barclay et al., 2010",6.14978149430876,0.431863153736758
"905",203.7,206,201.3,2200,"mean",1650,2750,1,"skew_normal","stomata","Bonis et al., 2010",7.66394337877762,0.256836228255956
"906",201.1,201.3,200.8,1320,"mean",880,1760,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.12649549775222,0.348505045946599
"907",201.1,201.3,200.8,1140,"mean",760,1520,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",6.97989202356035,0.348505045946599
"908",201.1,201.3,200.8,2792,"mean",1861,3722,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.87544284692222,0.348505045946599
"909",201.3,201.8,200.8,2152,"mean",1435,2869,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.61531947208754,0.348329828484811
"910",201.6,201.8,201.3,1445,"mean",964,1927,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.21740548151246,0.348244196912726
"911",201.6,201.8,201.3,1092,"mean",728,1456,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",6.93687463847666,0.348505045946599
"912",201.6,201.8,201.3,1195,"mean",797,1593,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.02711449435013,0.34818952255908
"913",201.6,201.8,201.3,1236,"mean",824,1648,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.06074412018944,0.348505045946599
"914",201.6,201.8,201.3,1113,"mean",742,1484,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",6.95592283344735,0.348505045946599
"915",201.1,201.3,200.8,1469,"mean",979,1958,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.23310523281048,0.348505045946599
"916",201.3,201.8,200.8,1604,"mean",1069,2139,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.32128631005373,0.34874015771217
"917",201.6,201.8,201.3,1761,"mean",1174,2348,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.41474559066801,0.3485050459466
"918",201.6,201.8,201.3,1600,"mean",1067,2133,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.31894548488655,0.348269383180855
"919",201.6,201.8,201.3,1459,"mean",973,1946,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.22695767246598,0.348505045946599
"920",201.6,201.8,201.3,881,"mean",587,1174,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",6.72159841010807,0.348505045946599
"921",201.6,201.8,201.3,1206,"mean",804,1608,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",7.03617285945894,0.348505045946599
"922",201.6,201.8,201.3,1122,"mean",748,1497,1,"skew_normal","stomata","Steinthorsdottir et al., 2011",6.96431068119705,0.348841020901641
"923",3.1,3.6,2.6,357,"median",333,376,1,"skew_normal; reported distribution is normal","stomata","Stults et al., 2011",5.86886581668517,0.0610617379880698
"924",8.5,11.6,5.3,360,"mean",252,594,1,"skew_normal; reported distribution is normal","stomata","Stults et al., 2011",5.95815420343703,0.431114402293077
"925",47.4,48,46.8,943,"mean",853,1033,1,"skew_normal","stomata","Grein et al., 2011",6.84449100830566,0.0962649725345766
"926",85,86.3,83.6,660,"mean",542,1896,1,"skew_normal","stomata","Wan et al., 2011",6.92138384212731,0.629607197307117
"927",85,86.3,83.6,531,"mean",473,733,1,"skew_normal","stomata","Wan et al., 2011",6.37812054518929,0.220245784557939
"928",85,86.3,83.6,565,"mean",512,795,1,"skew_normal","stomata","Wan et al., 2011",6.45833336984692,0.221234854207503
"929",35.9,37.8,33.9,450,"mean",259,640,1,"skew_normal","stomata","Roth-Nebelsick et al., 2012",6.00914811902663,0.454840838374334
"930",30.8,32,29.5,671,"mean",503,839,1,"skew_normal","stomata","Erdei et al., 2012",6.47640043828347,0.257235899581861
"931",27,27.1,26.3,395,"mean",273,516,1,"skew_normal","stomata","Grein et al., 2013 (updates Roth-Nebelsick et al., 2004, 2012)",5.92778928033326,0.320091469455586
"932",25,25.25,23,453,"mean",287,619,1,"skew_normal","stomata","Grein et al., 2013 (updates Roth-Nebelsick et al., 2004)",6.04379374422211,0.38645329777272
"933",24,25.25,23,434,"mean",257,611,1,"skew_normal","stomata","Grein et al., 2013 (updates Roth-Nebelsick et al., 2004, 2012)",5.98208652203341,0.435423605613731
"934",17.4,17.6,17.2,402,"mean",238,566,1,"skew_normal","stomata","Grein et al., 2013 (updates Roth-Nebelsick et al., 2004)",5.90543237593733,0.43557571374241
"935",33,33.9,32,383,"mean",240,527,1,"skew_normal","stomata","Roth-Nebelsick et al., 2014",5.87391973594168,0.395472567757537
"936",409.2,410.8,407.6,1548,"median",1092,2540,1,"skew_normal","stomata","Franks et al., 2014",7.41784275815872,0.424428836032305
"937",317.5,318,317,332,"median",239,471,1,"skew_normal","stomata","Franks et al., 2014",5.81566082297396,0.341087618459664
"938",311.1,323.2,298.9,340,"median",237,488,1,"skew_normal","stomata","Franks et al., 2014",5.82918777349414,0.363140197746151
"939",316.5,318,315,388,"median",272,567,1,"skew_normal","stomata","Franks et al., 2014",5.97308068501187,0.369325463568587
"940",277.2,282,272.3,498,"median",364,707,1,"skew_normal","stomata","Franks et al., 2014",6.22909226676666,0.333788292832008
"941",219.2,237,201.3,889,"median",685,1203,1,"skew_normal","stomata","Franks et al., 2014",6.81099627711845,0.283146670774428
"942",226.5,237,216,615,"median",441,877,1,"skew_normal","stomata","Franks et al., 2014",6.43277593390951,0.345646672690882
"943",131.6,133.9,129.3,513,"median",370,736,1,"skew_normal","stomata","Franks et al., 2014",6.25736656218357,0.345779909185731
"944",106.8,113,100.5,828,"median",651,1070,1,"skew_normal","stomata","Franks et al., 2014",6.72696178483226,0.249836767165822
"945",106.8,113,100.5,662,"median",523,861,1,"skew_normal","stomata","Franks et al., 2014",6.50883798424633,0.250645627522096
"946",106.8,113,100.5,734,"median",580,948,1,"skew_normal","stomata","Franks et al., 2014",6.60869130289774,0.247032281110152
"947",48,52,44,636,"median",576,708,1,"skew_normal","stomata","Franks et al., 2014",6.45927587719481,0.103743173281431
"948",40.9,47.8,33.9,356,"median",261,486,1,"skew_normal","stomata","Franks et al., 2014",5.87536451561159,0.312576443444349
"949",24.9,33.9,16,389,"median",283,549,1,"skew_normal","stomata","Franks et al., 2014",5.97677266957638,0.333172251462018
"950",12.8,23,2.6,434,"median",340,560,1,"skew_normal","stomata","Franks et al., 2014",6.0784412006697,0.250886022698328
"951",42.9,47.9,37.8,424,"median",385,467,1,"skew_normal","stomata","Maxbauer et al., 2014",6.04978629597834,0.0970809959079925
"952",186.8,190.8,182.7,809,"mean",540,1079,1,"skew_normal","stomata","Steinthorsdottir and Vajda, 2015",6.63767955240823,0.348039287227316
"953",13.8,16,11.6,334,"mean",234,551,1,"skew_normal","stomata","Wang et al, 2015",5.88352796225531,0.430593244950212
"954",9.5,10,9,351,"mean",246,579,1,"skew_normal","stomata","Wang et al, 2015",5.93331700675268,0.430370635143374
"955",2.9,3,2.8,280,"mean",196,462,1,"skew_normal","stomata","Wang et al, 2015",5.70683977515613,0.431114402293076
"956",2.7,2.7,2.6,279,"mean",195,460,1,"skew_normal","stomata","Wang et al, 2015",5.70211302402344,0.431504916100291
"957",2.6,NA,NA,285,"mean",200,470,1,"skew_normal","stomata","Wang et al, 2015",5.72552503062607,0.429588493681764
"958",1.9,NA,NA,280,"mean",196,462,1,"skew_normal","stomata","Wang et al, 2015",5.70683977515613,0.431114402293076
"959",1,NA,NA,278,"mean",195,459,1,"skew_normal","stomata","Wang et al, 2015",5.70102488431215,0.430410712183092
"960",97.2,100.5,93.9,1028,"mean",685,1370,1,"skew_normal","stomata","Mays et al, 2015",6.8759924285422,0.348505045946599
"961",117,123,111,796,"mean",531,1060,1,"skew_normal","stomata","Du et al, 2016",6.62039310417403,0.347557286002413
"962",121,125.1,116.8,824,"mean",549,1098,1,"skew_normal","stomata","Du et al, 2016",6.6546720317895,0.348505045946599
"963",121,125.1,116.8,839,"mean",559,1119,1,"skew_normal","stomata","Du et al, 2016",6.67317009073351,0.348954564529525
"964",112.6,115.2,110,856,"mean",571,1142,1,"skew_normal","stomata","Du et al, 2016",6.69396279993598,0.348505045946599
"965",112.6,115.2,110,846,"mean",564,1128,1,"skew_normal","stomata","Du et al, 2016",6.68162784177803,0.348505045946599
"966",23.5,24,23,476,"mean",352,600,1,"skew_normal","stomata","Steinthorsdottir et al., 2016a",6.13028041540712,0.268135276828795
"967",26.5,27,26,429,"mean",317,541,1,"skew_normal","stomata","Steinthorsdottir et al., 2016a",6.02616052636188,0.268748186320355
"968",33.5,33.9,33,409,"mean",303,516,1,"skew_normal","stomata","Steinthorsdottir et al., 2016a",5.97991978549547,0.267670440830477
"969",34.5,35,33.9,410,"mean",303,517,1,"skew_normal","stomata","Steinthorsdottir et al., 2016a",5.9808878400089,0.26864389031464
"970",36,36.5,35.5,365,"mean",270,460,1,"skew_normal","stomata","Steinthorsdottir et al., 2016a",5.86482422424076,0.267886925872147
"971",204.9,208.5,201.3,1472,"mean",981,1962,1,"skew_normal","stomata","Wu et al., 2016",7.23514604984534,0.3485050459466
"972",171.2,174.1,168.3,990,"mean",660,1320,1,"skew_normal","stomata","Wu et al., 2016",6.83881342530044,0.348505045946599
"973",171.2,174.1,168.3,954,"mean",636,1272,1,"skew_normal","stomata","Wu et al., 2016",6.8017721536201,0.348505045946599
"974",60,62,58,322,"mean",275,645,1,"skew_normal","stomata","Steinthorsdottir et al., 2016b",6.04301070723117,0.428615044197601
"975",65.5,66,65,418,"mean",363,836,1,"skew_normal","stomata","Steinthorsdottir et al., 2016b",6.31151572367478,0.419437460803905
"976",65.9,66,65.8,429,"mean",365,858,1,"skew_normal","stomata","Steinthorsdottir et al., 2016b",6.32725072653523,0.429735014592465
"977",67,68,66,649,"mean",555,1297,1,"skew_normal","stomata","Steinthorsdottir et al., 2016b",6.74338864903144,0.426785832211544
"978",23,23,23,516,"median",405,627,1,"skew_normal","stomata","Reichgelt et al., 2016",6.22241680386973,0.219747603646979
"979",23,23,22.9,425,"median",372,478,1,"skew_normal","stomata","Reichgelt et al., 2016",6.0442522933823,0.126057062069379
"980",28.5,33.9,23,390,"mean",265,715,1,"skew_normal","stomata","Sun et al., 2017",6.07600618434012,0.499042107999678
"981",32.98,NA,NA,550,"median",455,645,1,"skew_normal","boron","Pearson et al., 2009 (updated by Anagnostou et al., 2016)",6.29477386787336,0.175448806699851
"982",33.17,NA,NA,710,"median",595,825,1,"skew_normal","boron","Pearson et al., 2009 (updated by Anagnostou et al., 2016)",6.55197239594016,0.164321680338129
"983",33.33,NA,NA,890,"median",745,1035,1,"skew_normal","boron","Pearson et al., 2009 (updated by Anagnostou et al., 2016)",6.77777046203951,0.165302368692956
"984",33.47,NA,NA,930,"median",770,1090,1,"skew_normal","boron","Pearson et al., 2009 (updated by Anagnostou et al., 2016)",6.82016174503546,0.174739657779029
"985",33.59,NA,NA,690,"median",575,805,1,"skew_normal","boron","Pearson et al., 2009 (updated by Anagnostou et al., 2016)",6.52260615910796,0.169173698706677
"986",33.96,NA,NA,870,"median",720,1020,1,"skew_normal","boron","Pearson et al., 2009 (updated by Anagnostou et al., 2016)",6.75340455914421,0.175123904264304
"987",34.21,NA,NA,960,"median",795,1125,1,"skew_normal","boron","Pearson et al., 2009 (updated by Anagnostou et al., 2016)",6.85194021464643,0.17456556272829
"988",34.42,NA,NA,940,"median",760,1120,1,"skew_normal","boron","Pearson et al., 2009 (updated by Anagnostou et al., 2016)",6.82720119878476,0.194963274742816
"989",34.63,NA,NA,810,"median",655,965,1,"skew_normal","boron","Pearson et al., 2009 (updated by Anagnostou et al., 2016)",6.67838166848712,0.194826182308017
"990",0,NA,NA,266,"mean",254,279,1,"normal","boron","Seki et al., 2010",5.58427302441995,0.0472003472383499
"991",0.46,NA,NA,293,"mean",281,306,1,"normal","boron","Seki et al., 2010",5.68096988564306,0.0428527110386724
"992",0.9,NA,NA,278,"mean",265,290,1,"normal","boron","Seki et al., 2010",5.62480537448337,0.0453267546652267
"993",1.5,NA,NA,279,"mean",266,291,1,"normal","boron","Seki et al., 2010",5.6284097879766,0.0451637821502628
"994",2.11,NA,NA,274,"mean",262,287,1,"normal","boron","Seki et al., 2010",5.61391335976036,0.0458228113715407
"995",2.59,NA,NA,258,"mean",246,271,1,"normal","boron","Seki et al., 2010",5.55372517840603,0.0486633403895112
"996",2.79,NA,NA,283,"mean",270,295,1,"normal","boron","Seki et al., 2010",5.6426986576691,0.0445234528463014
"997",2.89,NA,NA,399,"mean",386,411,1,"normal","boron","Seki et al., 2010",5.98721529198053,0.0315527917727652
"998",2.99,NA,NA,402,"mean",389,414,1,"normal","boron","Seki et al., 2010",5.99472265872188,0.0313168768926794
"999",3.05,NA,NA,428,"mean",415,440,1,"normal","boron","Seki et al., 2010",6.0575266235715,0.0294111031091657
"1000",3.17,NA,NA,336,"mean",324,349,1,"normal","boron","Seki et al., 2010",5.81790771899738,0.0373713194218908
"1001",3.5,NA,NA,366,"mean",354,379,1,"normal","boron","Seki et al., 2010",5.9034165591081,0.0343097948645144
"1002",1.98,NA,NA,219,"mean",196,245,1,"skew_normal","boron","Bartoli et al., 2011",5.38968643488762,0.112193565500221
"1003",2.03,NA,NA,262,"mean",236,291,1,"skew_normal","boron","Bartoli et al., 2011",5.56857753609855,0.105329479348949
"1004",2.08,NA,NA,246,"mean",221,274,1,"skew_normal","boron","Bartoli et al., 2011",5.50564540395291,0.108081703860844
"1005",2.16,NA,NA,221,"mean",198,247,1,"skew_normal","boron","Bartoli et al., 2011",5.39882768366126,0.111176807820027
"1006",2.17,NA,NA,383,"mean",348,423,1,"skew_normal","boron","Bartoli et al., 2011",5.94978732941038,0.0981286902980072
"1007",2.2,NA,NA,386,"mean",351,427,1,"skew_normal","boron","Bartoli et al., 2011",5.95878511834725,0.0985450430188894
"1008",2.3,NA,NA,238,"mean",214,265,1,"skew_normal","boron","Bartoli et al., 2011",5.47285292050404,0.10747253079962
"1009",2.5,NA,NA,367,"mean",334,407,1,"skew_normal","boron","Bartoli et al., 2011",5.90997708920965,0.099386910096122
"1010",2.56,NA,NA,310,"mean",281,344,1,"skew_normal","boron","Bartoli et al., 2011",5.73949816335357,0.101707167017844
"1011",2.6,NA,NA,203,"mean",181,227,1,"skew_normal","boron","Bartoli et al., 2011",5.31172352437361,0.113857504696262
"1012",2.69,NA,NA,194,"mean",172,217,1,"skew_normal","boron","Bartoli et al., 2011",5.26369591517696,0.116849029330882
"1013",2.7,NA,NA,358,"mean",325,396,1,"skew_normal","boron","Bartoli et al., 2011",5.88261969679211,0.0993450965902128
"1014",2.71,NA,NA,314,"mean",285,348,1,"skew_normal","boron","Bartoli et al., 2011",5.75234583002156,0.10041315116394
"1015",2.71,NA,NA,238,"mean",214,266,1,"skew_normal","boron","Bartoli et al., 2011",5.47473616190178,0.109366267507363
"1016",2.71,NA,NA,334,"mean",303,370,1,"skew_normal","boron","Bartoli et al., 2011",5.81361790557382,0.10044176002915
"1017",2.75,NA,NA,300,"mean",271,333,1,"skew_normal","boron","Bartoli et al., 2011",5.70513065543007,0.103585919815816
"1018",2.77,NA,NA,404,"mean",367,446,1,"skew_normal","boron","Bartoli et al., 2011",6.00284040003732,0.0980218002477108
"1019",2.78,NA,NA,418,"mean",381,462,1,"skew_normal","boron","Bartoli et al., 2011",6.03918213310422,0.0969198993791775
"1020",2.78,NA,NA,316,"mean",286,350,1,"skew_normal","boron","Bartoli et al., 2011",5.75696248265166,0.101533381691245
"1021",2.8,NA,NA,314,"mean",285,349,1,"skew_normal","boron","Bartoli et al., 2011",5.75378055123554,0.10185586808358
"1022",2.92,NA,NA,241,"mean",217,269,1,"skew_normal","boron","Bartoli et al., 2011",5.48730436657115,0.108005592639095
"1023",3,NA,NA,354,"mean",321,392,1,"skew_normal","boron","Bartoli et al., 2011",5.87135148146024,0.100467159059315
"1024",3.07,NA,NA,265,"mean",239,294,1,"skew_normal","boron","Bartoli et al., 2011",5.5800216596351,0.104135237350964
"1025",3.08,NA,NA,411,"mean",374,454,1,"skew_normal","boron","Bartoli et al., 2011",6.02117649772794,0.0974608396693308
"1026",3.1,NA,NA,249,"mean",224,277,1,"skew_normal","boron","Bartoli et al., 2011",5.51783177902119,0.106777500544739
